Video,Video Type,Duration,Views,Likes,Saves
vid1,Academic,86,28900,1813,65
vid2,Academic,120,33500,7303,270
vid3,Vlog,43,9029,772,26
vid4,Vlog,49,643,112,5
vid5,Vlog,59,1619,62,9
vid6,Vlog,48,571,41,5
vid7,Vlog,53,626,38,5
vid8,Academic,115,251,23,5
vid9,Academic,N/A,23700,2649,439
vid10,Vlog,57,417,24,6
vid11,Vlog,82,495,26,4
vid12,Academic,N/A,7226,120,25
vid13,Vlog,56,2276,140,10
vid14,Vlog,58,403,27,3
vid15,Vlog,77,31200,5929,233
vid16,Vlog,49,459,27,2
vid17,Travelling,30,2692,211,11
vid18,Travelling,15,497,14,2
vid19,Sh1tpost,28,5753,153,8
vid20,Vlog,14,11300,940,30
vid21,Travelling,18,11000,918,33
vid22,Travelling,44,316,31,2
vid23,Vlog,47,282,24,2
