Video,Duration,Views,Likes,Saves,Video Type_Academic,Video Type_Sh1tpost,Video Type_Travelling,Video Type_Vlog
vid1,86.0,28900,1813,65,1,0,0,0
vid2,120.0,33500,7303,270,1,0,0,0
vid3,43.0,9029,772,26,0,0,0,1
vid4,49.0,643,112,5,0,0,0,1
vid5,59.0,1619,62,9,0,0,0,1
vid6,48.0,571,41,5,0,0,0,1
vid7,53.0,626,38,5,0,0,0,1
vid8,115.0,251,23,5,1,0,0,0
vid10,57.0,417,24,6,0,0,0,1
vid11,82.0,495,26,4,0,0,0,1
vid13,56.0,2276,140,10,0,0,0,1
vid14,58.0,403,27,3,0,0,0,1
vid15,77.0,31200,5929,233,0,0,0,1
vid16,49.0,459,27,2,0,0,0,1
vid17,30.0,2692,211,11,0,0,1,0
vid18,15.0,497,14,2,0,0,1,0
vid19,28.0,5753,153,8,0,1,0,0
vid20,14.0,11300,940,30,0,0,0,1
vid21,18.0,11000,918,33,0,0,1,0
vid22,44.0,316,31,2,0,0,1,0
vid23,47.0,282,24,2,0,0,0,1
